Echantillon;Meme echantilon qui recolte 2009/2010;Ville;Recolte;Cultivar;Age;Espacement.m;Aplicacion PBZ.ml do p.a./plante;SPAD_m;Irrigation.I-NI;rdt.kg/Plante;sol.pH.cacl2;sol.M.O.g/dm3;sol.P.mg/dm3;sol.K.mmolc/dm3;sol.Ca.mmolc/dm3;sol.Mg.mmolc/dm3;sol.H+Almmolc/dm3;sol.SB.mmolc/dm3;sol.T.mmolc/dm3;sol.V.perc;sol.B.mg/dm3;sol.Cu.mg/dm3;sol.Fe.mg/dm3;sol.Mn.mg/dm3;sol.Zn.mg/dm3;sol.S-S04.mg/dm3;sol.Al.mmolc/dm3;fol.N.g/kg;fol.P.g/kg;fol.K.g/kg;fol.Ca.g/kg;fol.Mg.g/kg;fol.S.g/kg;fol.B.mg/kg;fol.Cu.mg/kg;fol.Fe.mg/kg;fol.Mn.mg/kg;fol.Zn.mg/kg
185;63;Taquaritinga;2010/2011;Tommy;2002;10 x 3,5;4.5;46.7;NI;197.2;5.4;12;98;3.7;38;18;16;59.7;75.7;79;3.03;15.4;18;18.9;2.6;27;0;12.8;0.9;8.1;19.4;2.2;1.6;50;94;68;413;30
186;64;Taquaritinga;2010/2011;Tommy;2002;10 x 6;5;45.3;NI;185.4;5.7;10;76;3.9;41;17;14;61.9;75.9;82;2.4;13.4;15;17.9;1.4;21;0;13.5;0.9;7.4;18.3;2.1;1.7;43;107;87;598;28
7;;Pirangi;2009/2010;Palmer;2000;8 x 5;1.8;58.1;NI;182.8;5.5;15;12;1;17;7;16;25;41;61;0.06;6;17;22;1.2;1;0;16.5;1;9.7;18.3;2.5;1.3;41;12;43;404;11
142;85;Vista Alegre do Alto;2010/2011;Palmer;1997;7 x 5;2.7;53.2;NI;172.6;5.6;12;44;1.7;29;16;15;46.7;61.7;76;0.22;8.2;11;7.7;1;2;0;13.9;0.9;10;26.2;1.9;1.7;24;13;97;373;20
208;35;Fernando Prestes;2010/2011;Palmer;2000;8 x 6;2;49.5;NI;171.7;5;12;7;1.5;16;7;18;24.5;42.5;58;0.19;7.8;12;14.7;0.5;1;0;12.8;0.8;10.9;19.6;2.1;1.6;27;107;99;349;14
183;61;Taquaritinga;2010/2011;Tommy;1983;12 x 10;5.25;46.2;NI;171.5;6;14;25;2;35;11;13;48;61;79;0.2;4.8;24;17;1.5;20;0;12.4;0.9;8.6;19.2;1.7;1.4;32;90;64;280;16
141;84;Vista Alegre do Alto;2010/2011;Palmer;1999;7 x 5;3.6;50.7;NI;163.7;5.6;17;45;3.3;40;18;22;61.3;83.3;74;0.24;10.4;22;5.6;1.4;1;0;12.8;1.2;12.5;17.6;1.8;1.5;30;13;40;276;38
140;83;Vista Alegre do Alto;2010/2011;Palmer;1999;7 x 5;3.6;48.6;NI;160.8;4.8;12;28;3.4;24;9;31;36.4;67.4;54;0.26;3;19;5.4;0.4;1;1;13.4;1.1;11.6;16.9;1.8;1.6;25;11;45;330;39
207;33;Fernando Prestes;2010/2011;Palmer;2000;8 x 6;2;49;NI;159.1;5.1;10;7;1.3;15;6;15;22.3;37.3;60;0.19;6;12;15.4;0.4;1;0;11.3;0.9;11.8;22.1;1.9;1.5;30;34;94;563;21
182;58;Taquaritinga;2010/2011;Palmer;1993;8 x 6;5;57;NI;155.1;5.6;11;87;3.5;38;17;14;58.5;72.5;81;1.96;10.2;17;20.4;2.9;82;0;17.2;1.1;10.1;19.4;2.2;1.7;50;111;74;421;22
196;25;Fernando Prestes;2010/2011;Tommy;2003;8 x 6;2.5;46.4;NI;153;5;12;7;1;18;10;22;29;51;57;0.19;2.2;19;15.4;0.5;1;0;11;0.8;7.6;19.2;2.1;1;20;6;48;302;15
23;;Pirangi;2009/2010;Palmer;2000;8 x 6;1.8;55.7;NI;152.8;5.4;15;38;2;15;5;18;22;40;55;0.11;4;20;22;1.8;1;0;14;0.8;8.9;14.5;2;1.2;18;24;61;619;11
143;86;Vista Alegre do Alto;2010/2011;Palmer;1995;7 x 5;2.7;54.8;NI;152.1;5.4;10;35;2.2;26;9;18;37.2;55.2;67;0.18;15.4;13;9.1;2.2;1;0;15.3;0.9;9.3;20.4;1.6;1.4;25;14;76;617;50
179;56;Taquaritinga;2010/2011;Palmer;1995;8 X 4;3.37;59.8;NI;149.6;5.6;9;116;3.5;33;22;13;58.5;71.5;82;1.07;10.5;20;16.8;2.8;36;0;17.2;1.1;11.1;17.9;2;1.7;60;30;95;515;45
195;24;Fernando Prestes;2010/2011;Tommy;2003;8 x 6;2.5;43.2;NI;148;5.3;11;10;1.6;26;12;22;39.6;61.6;64;0.2;1.9;14;17.5;0.4;1;0;10.6;0.7;8;24.3;1.9;1;28;7;33;315;16
181;59;Taquaritinga;2010/2011;Palmer;1993;8 x 6;5;54.1;NI;147.8;5.6;12;90;3.8;40;16;16;59.8;75.8;79;2.09;16.1;19;19.6;3.6;96;0;15.7;1;9.1;16.7;2;1.4;41;47;55;359;23
209;37;Fernando Prestes;2010/2011;Palmer;2003;8 x 5;2;54.1;NI;145.2;5;12;8;2.2;15;6;20;23.2;43.2;54;0.18;3.7;16;13.3;0.5;1;0;14.6;0.7;8.9;22.1;2;1.3;24;35;61;544;14
104;;Vista Alegre do Alto;2009/2010;Tommy;2002;8 x 6;5;48.5;NI;139.6;5.5;15;12;3.1;18;5;13;26.1;39.1;67;0.21;5.6;13;7.7;0.7;1;0;12.3;1.8;9;20.3;1.5;1.2;26;13;60;509;22
18;;Pirangi;2009/2010;Palmer;2002;7 x 5;1.8;56.8;NI;135.5;5.3;15;8;1.9;14;5;18;20.9;38.9;54;0.08;3.8;20;22;1;2;0;14;0.9;8.3;21.3;1.9;1.4;18;16;60;544;14
